year,mu,s,week,fitted_cdf,year_group
2018,19.11968047659817,0.9543178740683612,19,0.4686886650576874,2018
1992,19.1450992809687,0.517837359071354,19,0.43040415089893713,Other
2016,19.383594976591883,1.2951375381933548,19,0.42649136303450674,Other
2013,19.252739332071425,0.6680876749555522,19,0.406536344481195,Other
2008,19.51236278632033,1.351842174817684,19,0.4063655018279275,Other
1995,19.483719479113137,1.237528484154592,19,0.4035065763856543,Other
1983,19.955213158039424,1.3627927890379434,19,0.3316075620338426,Other
2014,19.913683005379703,1.0955557141637242,19,0.3028019717829869,Other
2020,19.99935456745787,1.1554081864958052,19,0.29630902845948065,Other
2022,20.012923021399583,1.0097496888443964,19,0.26832397942578073,Other
1984,20.32815839383654,0.9724513135827503,19,0.20330186722378668,Other
2009,20.140740323295397,0.8033354421916045,19,0.19466080390594254,Other
1981,21.647102462008604,1.624256797100034,19,0.1638671467153752,Other
1989,22.04114077726732,1.6542699420372284,19,0.13724557649259528,Other
2002,21.14873274918691,1.1294270492763459,19,0.1298260065346356,Other
1998,20.208173071789812,0.6310092174435861,19,0.12845734929979222,Other
1996,21.538531553531655,0.9399802383341086,19,0.06293664803167759,Other
2019,22.95846774999589,1.3544246560089428,19,0.05104666640688336,2019
2011,21.758945599078544,0.5427990900587114,19,0.0061642114987430115,Other
2003,17.50002707329803,0.35719505789524125,20,0.9990879481246728,Other
2001,17.65648669532134,0.3637777391716925,20,0.9984095665471882,Other
1982,17.164317134528158,0.5182813754478109,20,0.9958119335075746,Other
1999,17.550566308908664,0.5529471323010038,20,0.9882232242710135,Other
2006,17.23807444335008,0.6440647953481751,20,0.9864573058414557,Other
1988,17.326824069178695,0.636183026192589,20,0.9852535638967269,Other
2000,18.12095130340071,0.47397641129073054,20,0.9813747287916105,Other
1985,17.461869371428108,0.6416841736675388,20,0.9812092374987046,Other
2007,18.12642902028725,0.5690248741527212,20,0.9641740534219405,Other
2012,16.78877955420752,0.9900779361651335,20,0.9624352862925539,Other
1997,17.467770373014034,0.7893501202363457,20,0.9611339608867667,Other
2010,16.6390782236277,1.0721649415065384,20,0.9583018443797765,Other
2005,16.541631311628272,1.2109928083645276,20,0.9456183740233582,Other
1994,17.471323506363426,0.9127694501581843,20,0.94105153273073,Other
1987,18.331379908949984,0.6163061628700899,20,0.9374650101583347,Other
1991,18.53136866815894,0.5593398868847537,20,0.9324942998225589,Other
1993,18.6252594997513,0.5741017416492514,20,0.9164141275418229,Other
1986,18.447153325224846,0.6898973000028762,20,0.9047227467509574,Other
1980,18.62132385647612,0.6433192980254367,20,0.8950191034327561,Other
1990,17.851895029727196,1.0565709543451416,20,0.8842278833032444,Other
1979,18.75976007155734,0.6116147500995176,20,0.8836864070032687,Other
1992,19.1450992809687,0.517837359071354,20,0.8390134393861121,Other
2004,18.24932551046021,1.1659938474108666,20,0.8177897478942798,Other
2015,19.051423306698773,0.7531476674842027,20,0.7789370984687405,Other
2013,19.252739332071425,0.6680876749555522,20,0.7537116549577658,Other
2017,18.525382173135974,1.528833163592439,20,0.7240294866776595,Other
2021,19.016865825313612,1.0627491634643094,20,0.7160772409846916,Other
2018,19.11968047659817,0.9543178740683612,20,0.715542966634217,2018
2016,19.383594976591883,1.2951375381933548,20,0.6167882082623213,Other
1995,19.483719479113137,1.237528484154592,20,0.6028098749394449,Other
2008,19.51236278632033,1.351842174817684,20,0.5892148406906502,Other
2014,19.913683005379703,1.0955557141637242,20,0.5196868971217868,Other
1983,19.955213158039424,1.3627927890379434,20,0.5082152642313236,Other
2020,19.99935456745787,1.1554081864958052,20,0.5001396546547117,Other
2022,20.012923021399583,1.0097496888443964,20,0.4968004830426361,Other
2009,20.140740323295397,0.8033354421916045,20,0.45631294363027153,Other
1998,20.208173071789812,0.6310092174435861,20,0.41826374759062745,Other
1984,20.32815839383654,0.9724513135827503,20,0.4164278611784125,Other
1981,21.647102462008604,1.624256797100034,20,0.266185018346893,Other
2002,21.14873274918691,1.1294270492763459,20,0.2655939658826398,Other
1989,22.04114077726732,1.6542699420372284,20,0.22550620471565969,Other
1996,21.538531553531655,0.9399802383341086,20,0.16290503418553776,Other
2019,22.95846774999589,1.3544246560089428,20,0.10116937649053284,2019
2011,21.758945599078544,0.5427990900587114,20,0.03766941715333221,Other
2003,17.50002707329803,0.35719505789524125,21,0.9999444678019435,Other
2001,17.65648669532134,0.3637777391716925,21,0.9998980665277403,Other
1982,17.164317134528158,0.5182813754478109,21,0.9993895924452271,Other
